epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
121,2336.59,0.97779,0.54568,1.33507,0.97641,0.94358,0.98155,0.64665,1.32327,0.5253,1.76269,0.00406,0.00406,0.00406
122,2356.68,0.95558,0.54711,1.32483,0.96232,0.95114,0.98155,0.64067,1.34807,0.52747,1.7865,0.0040105,0.0040105,0.0040105
123,2375.84,0.95166,0.54061,1.31358,0.9722,0.92508,0.97893,0.64347,1.33561,0.53232,1.78216,0.003961,0.003961,0.003961
124,2394.84,0.95934,0.54584,1.32661,0.96986,0.94337,0.9829,0.64579,1.32508,0.53388,1.77919,0.0039115,0.0039115,0.0039115
125,2414.81,0.95021,0.53692,1.30625,0.96041,0.94137,0.98217,0.64363,1.34085,0.54618,1.78825,0.003862,0.003862,0.003862
126,2434.21,0.94043,0.5352,1.31004,0.96995,0.94625,0.98776,0.64936,1.34883,0.54864,1.77999,0.0038125,0.0038125,0.0038125
127,2453.66,0.93237,0.53691,1.30256,0.9764,0.9432,0.9815,0.64542,1.3474,0.53857,1.79117,0.003763,0.003763,0.003763
128,2473.09,0.94995,0.5341,1.3104,0.95576,0.92182,0.97613,0.64354,1.34385,0.56831,1.77415,0.0037135,0.0037135,0.0037135
129,2492.48,0.92364,0.52628,1.29449,0.96996,0.94668,0.98426,0.65003,1.32718,0.53921,1.7912,0.003664,0.003664,0.003664
130,2511.67,0.92436,0.52663,1.29359,0.96759,0.92182,0.97773,0.64059,1.36497,0.54523,1.80208,0.0036145,0.0036145,0.0036145
131,2531.03,0.92862,0.52517,1.2893,0.95933,0.94137,0.98024,0.64713,1.33747,0.54755,1.78147,0.003565,0.003565,0.003565
132,2550.34,0.93056,0.52272,1.30016,0.96632,0.93463,0.98393,0.64391,1.34661,0.54601,1.80094,0.0035155,0.0035155,0.0035155
133,2569.89,0.91539,0.5179,1.28432,0.96984,0.94255,0.98644,0.6473,1.32895,0.55691,1.78174,0.003466,0.003466,0.003466
134,2588.78,0.93179,0.53046,1.29351,0.94842,0.93811,0.98384,0.66236,1.32629,0.54663,1.78041,0.0034165,0.0034165,0.0034165
135,2608.15,0.91094,0.51228,1.2848,0.95128,0.96417,0.98693,0.64655,1.35177,0.55081,1.80669,0.003367,0.003367,0.003367
136,2627.83,0.91862,0.52226,1.28705,0.95124,0.95322,0.9849,0.64747,1.33105,0.55537,1.79958,0.0033175,0.0033175,0.0033175
137,2646.62,0.90808,0.51542,1.2871,0.94897,0.94788,0.97967,0.64726,1.3395,0.5287,1.78874,0.003268,0.003268,0.003268
138,2666,0.91105,0.50221,1.27667,0.9595,0.96091,0.98751,0.64813,1.35244,0.51059,1.81163,0.0032185,0.0032185,0.0032185
139,2685.1,0.90684,0.50553,1.27814,0.97666,0.95428,0.98622,0.64718,1.34363,0.55718,1.80153,0.003169,0.003169,0.003169
140,2704.07,0.90416,0.51372,1.2703,0.96656,0.96417,0.9849,0.64527,1.35123,0.53771,1.81507,0.0031195,0.0031195,0.0031195
141,2722.74,0.88561,0.4998,1.26076,0.96694,0.95272,0.9841,0.64683,1.34773,0.53504,1.80444,0.00307,0.00307,0.00307
142,2742.84,0.89458,0.50667,1.27573,0.97633,0.94035,0.98745,0.65175,1.33077,0.51493,1.80619,0.0030205,0.0030205,0.0030205
143,2761.77,0.88535,0.49783,1.2628,0.96727,0.94137,0.98564,0.64854,1.34643,0.52495,1.80448,0.002971,0.002971,0.002971
144,2780.78,0.89316,0.49789,1.2673,0.95144,0.95723,0.9831,0.63934,1.35813,0.53684,1.834,0.0029215,0.0029215,0.0029215
