epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
142,2620.96,0.90891,0.50698,1.31932,0.96061,0.95323,0.98083,0.65866,1.33489,0.50509,1.82734,0.0030205,0.0030205,0.0030205
143,2640.02,0.88742,0.4921,1.29626,0.98045,0.95114,0.98653,0.66483,1.32126,0.49568,1.81577,0.002971,0.002971,0.002971
144,2658.72,0.90238,0.50069,1.30673,0.98316,0.95765,0.98529,0.65947,1.33506,0.50176,1.82242,0.0029215,0.0029215,0.0029215
145,2677.35,0.89246,0.50063,1.30406,0.9818,0.93811,0.98535,0.65041,1.34234,0.52362,1.83285,0.002872,0.002872,0.002872
146,2695.91,0.88641,0.50204,1.30301,0.94853,0.96041,0.98436,0.64986,1.34591,0.5122,1.83995,0.0028225,0.0028225,0.0028225
147,2714.25,0.89555,0.49588,1.30038,0.97534,0.9544,0.98362,0.64876,1.33876,0.50326,1.83309,0.002773,0.002773,0.002773
148,2732.53,0.88699,0.49312,1.29637,0.97372,0.94137,0.98367,0.65208,1.34575,0.51558,1.82687,0.0027235,0.0027235,0.0027235
149,2750.77,0.87028,0.48651,1.28265,0.97666,0.95424,0.98553,0.64407,1.35644,0.50335,1.84594,0.002674,0.002674,0.002674
150,2769.03,0.89638,0.50053,1.30038,0.96361,0.96417,0.98572,0.65224,1.35263,0.50846,1.84637,0.0026245,0.0026245,0.0026245
151,2787.37,0.88033,0.49387,1.29236,0.96096,0.96208,0.98884,0.65141,1.34217,0.50329,1.85119,0.002575,0.002575,0.002575
152,2805.77,0.86202,0.46956,1.26947,0.9677,0.9544,0.98828,0.6525,1.33665,0.50596,1.83822,0.0025255,0.0025255,0.0025255
153,2824.06,0.85738,0.48693,1.27583,0.96066,0.96091,0.9869,0.64557,1.35586,0.50767,1.8663,0.002476,0.002476,0.002476
154,2842.26,0.87016,0.48454,1.28573,0.97501,0.9544,0.98831,0.64878,1.34068,0.51045,1.84697,0.0024265,0.0024265,0.0024265
155,2860.54,0.8646,0.4803,1.27603,0.96588,0.9544,0.98654,0.65614,1.34188,0.53239,1.83287,0.002377,0.002377,0.002377
156,2879.59,0.86071,0.47956,1.2704,0.9672,0.96046,0.98659,0.65048,1.34291,0.51245,1.84376,0.0023275,0.0023275,0.0023275
157,2898.77,0.85345,0.47479,1.266,0.96425,0.96653,0.98537,0.65575,1.33165,0.50596,1.83107,0.002278,0.002278,0.002278
158,2917.56,0.84563,0.46464,1.2639,0.96103,0.96743,0.98713,0.65458,1.32568,0.49558,1.8219,0.0022285,0.0022285,0.0022285
159,2936.17,0.84436,0.47515,1.26434,0.98394,0.94788,0.98431,0.64656,1.34896,0.49942,1.86598,0.002179,0.002179,0.002179
160,2954.75,0.84614,0.462,1.25311,0.97981,0.94863,0.9853,0.64998,1.33515,0.49637,1.8401,0.0021295,0.0021295,0.0021295
161,2973.23,0.84877,0.46528,1.25945,0.97985,0.95114,0.98327,0.65261,1.33561,0.5006,1.83281,0.00208,0.00208,0.00208
162,2991.5,0.84532,0.46561,1.26291,0.97976,0.94584,0.9827,0.65314,1.34322,0.52026,1.84873,0.0020305,0.0020305,0.0020305
163,3010.06,0.84633,0.46961,1.2651,0.97018,0.95377,0.98361,0.64932,1.3275,0.51648,1.84184,0.001981,0.001981,0.001981
164,3031,0.82749,0.45808,1.24549,0.97569,0.93485,0.98366,0.66093,1.33541,0.53297,1.85955,0.0019315,0.0019315,0.0019315
165,3051.45,0.83163,0.45818,1.2439,0.97569,0.94788,0.98467,0.65656,1.3377,0.52141,1.85838,0.001882,0.001882,0.001882
166,3071.32,0.81673,0.45674,1.2361,0.97344,0.94788,0.98648,0.65847,1.33472,0.493,1.85299,0.0018325,0.0018325,0.0018325
167,3090.04,0.82606,0.45606,1.23052,0.98314,0.94958,0.988,0.65462,1.34549,0.49781,1.8682,0.001783,0.001783,0.001783
168,3108.62,0.81188,0.44584,1.2353,0.97663,0.95277,0.98764,0.65065,1.3488,0.50187,1.86921,0.0017335,0.0017335,0.0017335
169,3127.21,0.81063,0.44775,1.23159,0.97341,0.95379,0.98906,0.66016,1.34043,0.49922,1.85833,0.001684,0.001684,0.001684
170,3145.72,0.80694,0.43743,1.22665,0.96687,0.96417,0.98798,0.66198,1.34131,0.48875,1.87283,0.0016345,0.0016345,0.0016345
171,3164.1,0.80785,0.44812,1.23487,0.97975,0.94552,0.98396,0.65768,1.34262,0.5016,1.87413,0.001585,0.001585,0.001585
172,3182.56,0.81039,0.4465,1.23129,0.96686,0.95036,0.9863,0.65745,1.34426,0.49881,1.87276,0.0015355,0.0015355,0.0015355
173,3200.91,0.8056,0.44541,1.22554,0.9675,0.96965,0.98862,0.65309,1.35203,0.49377,1.87732,0.001486,0.001486,0.001486
174,3219.35,0.8003,0.44738,1.23008,0.97882,0.95114,0.98735,0.6573,1.35542,0.51045,1.88013,0.0014365,0.0014365,0.0014365
175,3237.79,0.8013,0.44236,1.22052,0.97313,0.9544,0.9866,0.66097,1.33652,0.51787,1.86205,0.001387,0.001387,0.001387
176,3256.21,0.79915,0.44351,1.22518,0.98325,0.95611,0.98618,0.66241,1.33242,0.49811,1.85394,0.0013375,0.0013375,0.0013375
177,3274.85,0.79807,0.44876,1.22808,0.9832,0.9532,0.98643,0.66062,1.33479,0.49743,1.86417,0.001288,0.001288,0.001288
178,3293.49,0.79387,0.43899,1.2243,0.97347,0.95624,0.98526,0.6574,1.33596,0.50484,1.87311,0.0012385,0.0012385,0.0012385
179,3311.99,0.78497,0.4416,1.21022,0.98215,0.95114,0.98969,0.66055,1.32781,0.5013,1.87238,0.001189,0.001189,0.001189
180,3330.63,0.7945,0.43885,1.21584,0.9864,0.94469,0.98849,0.66173,1.3298,0.50802,1.86699,0.0011395,0.0011395,0.0011395
181,3349.24,0.78518,0.43114,1.20816,0.9861,0.94788,0.98897,0.66392,1.32998,0.49748,1.8623,0.00109,0.00109,0.00109
182,3367.94,0.77958,0.42698,1.21132,0.98303,0.94345,0.98972,0.66471,1.3224,0.48954,1.85969,0.0010405,0.0010405,0.0010405
183,3386.45,0.7679,0.42667,1.20098,0.97985,0.9544,0.98796,0.66598,1.32078,0.49373,1.86873,0.000991,0.000991,0.000991
